timedeltaindex,absolute_timestamp,accessspecid,antenna,channelindex,doppler,doppler_by_phase,doppler_channel,doppler_hz,epc96,estimated_rssi,id,interrogator_timestamp,inventoryparameterspecid,lastseentimestamp,phase,phase_rads,prx_moving_parts,relative_timestamp,rospecid,rssi,rssi_delta,rssi_from_mean,rssi_from_min,tagseencount,velocity_by_doppler,velocity_by_phase
00:00:00.404403,2017-07-26 16:48:36,0,1.0,27.0,10,0.132579443016,572343750.0,0.625,00e200600322f10741000000,-54.859077781,18,1501080168303721,1,1501080168303721,8,0.0122718463031,-9.19638147044,404403,1,-57,-10.0,0.95104749121,2.60746756463,1,0.204608557194,0.0434267326984
00:00:00.421436,2017-07-26 16:48:36,0,1.0,27.0,65529,0.0,-400640625.0,-0.4375,00e200600322f041ef000000,-50.5699351598,19,1501080168320754,1,1501080168320754,3344,5.12963175469,-1.19638147044,421436,1,-49,8.0,-0.564136013872,0.698668828233,1,-0.143225990035,0.0
00:00:00.431363,2017-07-26 16:48:36,0,1.0,27.0,65521,0.0,-858515625.0,-0.9375,00e200600322f10741000000,-56.0091201264,20,1501080168330681,1,1501080168330681,8,0.0122718463031,-10.1963814704,431363,1,-58,-9.0,-0.198994854149,1.45742521927,1,-0.30691283579,0.0
00:00:00.484955,2017-07-26 16:48:36,0,1.0,27.0,18,9.28419528568,1030218750.0,1.125,00e200600322f10741000000,-57.4665453456,21,1501080168384273,1,1501080168384273,4084,6.26477753772,-10.1963814704,484955,1,-58,0.0,-1.65642007342,0.0,1,0.368295402948,3.03940128337
00:00:00.494590,2017-07-26 16:48:36,0,1.0,27.0,9,-0.013349406731,515109375.0,0.5625,00e200600322f041ef000000,-51.268603988,22,1501080168393908,1,1501080168393908,3336,5.11735990839,-1.19638147044,494590,1,-49,9.0,-1.2628048421,0.0,1,0.184147701474,-0.00437024456099
00:00:00.518206,2017-07-26 16:48:36,0,1.0,27.0,6,-10.6273950923,343406250.0,0.375,00e200600322f041ef000000,-49.6078706065,23,1501080168417524,1,1501080168417524,1280,1.96349540849,-1.19638147044,518206,1,-49,0.0,0.397928539397,1.6607333815,1,0.122765134316,-3.4791295625
00:00:00.528204,2017-07-26 16:48:36,0,1.0,27.0,13,-0.112900009249,744046875.0,0.8125,00e200600322f10741000000,-55.7513357062,24,1501080168427522,1,1501080168427522,4044,6.20341830621,-10.1963814704,528204,1,-58,-9.0,0.0587895659657,1.71520963939,1,0.265991124352,-0.0369604927992
00:00:00.575004,2017-07-26 16:48:36,0,1.0,27.0,3,-0.00859680358463,171703125.0,0.1875,00e200600322f041ef000000,-50.8090149503,25,1501080168474322,1,1501080168474322,1276,1.95735948534,-1.19638147044,575004,1,-49,9.0,-0.803215804381,0.459589037723,1,0.0613825671581,-0.00281436732469
00:00:00.590066,2017-07-26 16:48:36,0,1.0,27.0,12,-0.173647594646,686812500.0,0.75,00e200600322f10741000000,-56.0731813632,26,1501080168489384,1,1501080168489384,3956,6.06842799688,-10.1963814704,590066,1,-58,-9.0,-0.263056090943,1.39336398248,1,0.245530268632,-0.0568476540811
00:00:00.620027,2017-07-26 16:48:36,0,1.0,28.0,65528,-0.173647594646,-458125000.0,-0.5,00e200600322f041ef000000,-50.1632024266,27,1501080168519345,1,1501080168519345,3636,5.57755414475,-0.186899057939,620027,1,-48,10.0,0.31907759399,1.17102661918,1,-0.163597521419,-0.0568476540811
00:00:00.630070,2017-07-26 16:48:36,0,1.0,28.0,9,-4.76577603844,515390625.0,0.5625,00e200600322f10741000000,-55.900136419,28,1501080168529388,1,1501080168529388,164,0.251572849213,-10.1868990579,630070,1,-58,-10.0,-0.05913645656,1.49031668571,1,0.184047211596,-1.55933829505
00:00:00.673304,2017-07-26 16:48:36,0,1.0,28.0,14,-4.76577603844,801718750.0,0.875,00e200600322f041ef000000,-50.8488859811,29,1501080168572622,1,1501080168572622,1556,2.38687410595,-1.18689905794,673304,1,-49,9.0,-0.366605960528,0.485343064664,1,0.286295662483,-1.55933829505
00:00:00.686858,2017-07-26 16:48:36,0,1.0,28.0,13,0.0171966348524,744453125.0,0.8125,00e200600322f10741000000,-55.3518139661,30,1501080168586176,1,1501080168586176,172,0.263844695516,-9.18689905794,686858,1,-57,-8.0,0.489185996312,2.03863913858,1,0.265845972306,0.00562665367721
00:00:00.706062,2017-07-26 16:48:36,0,1.0,28.0,65528,0.149057100556,-458125000.0,-0.5,00e200600322f041ef000000,-50.7019634227,31,1501080168605380,1,1501080168605380,1596,2.44823333747,-1.18689905794,706062,1,-49,8.0,-0.219683402089,0.632265623103,1,-0.163597521419,0.0487707444015
00:00:00.719376,2017-07-26 16:48:36,0,1.0,28.0,65532,0.0900943323698,-229062500.0,-0.25,00e200600322f10741000000,-56.0444969928,32,1501080168618694,1,1501080168618694,196,0.300660234426,-10.1868990579,719376,1,-58,-9.0,-0.203497030373,1.3459561119,1,-0.0817987607094,0.0294784189392
00:00:00.767109,2017-07-26 16:48:36,0,1.0,28.0,65535,4.08720688568,-57265625.0,-0.0625,00e200600322f041ef000000,-50.8875672803,33,1501080168666427,1,1501080168666427,3640,5.5836900679,-1.18689905794,767109,1,-49,9.0,-0.4052872597,0.446661765492,1,-0.0204496901774,1.33731383205
00:00:00.778866,2017-07-26 16:48:36,0,1.0,28.0,17,-0.0738700832073,973515625.0,1.0625,00e200600322f10741000000,-55.362178589,34,1501080168678184,1,1501080168678184,160,0.245436926062,-9.18689905794,778866,1,-57,-8.0,0.478821373437,2.02827451571,1,0.347644733015,-0.0241699250394
