rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
1,9.46687E+14,0.325310292,0.5,9.46687E+14,1.239456477,8,1,-0.101330313,22,1,41.40705295,0.164518783,7/24/18 17:22,e2801160600002073a496297,1,41.70523965,455875000,-2.833333333,1,808,-0.033341479,19,389402,-63,0
0,9.46687E+14,0.983105487,-0.125,9.46687E+14,0.184077695,65534,1,-0.036317927,23,1,25.40705295,-0.041129696,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70523965,-113968750,-0.5,1,120,-0.011949962,19,402877,-47,0
0,9.46687E+14,0.47679923,-0.1875,9.46687E+14,1.073786552,65533,1,nan,24,1,36.41657695,-0.061660729,7/24/18 17:22,00e200600322f148a4000000,1,36.70514472,-171046875,-1.923076923,1,700,nan,20,427629,-58,0
0,9.46687E+14,0.422000271,-0.125,9.46687E+14,1.135145783,65534,1,0.103916159,25,1,36.41657695,-0.041107153,7/24/18 17:22,00e200600322f148a4000000,1,36.70514472,-114031250,-1.923076923,1,740,0.034173579,20,474617,-58,0
0,9.46687E+14,0.986308097,1.0625,9.46687E+14,6.117515382,17,1,nan,26,1,25.41657695,0.349410797,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70514472,969265625,-0.481481481,1,3988,nan,20,484610,-47,0
0,9.46687E+14,0.662415778,-0.125,9.46687E+14,0.846757395,65534,1,nan,27,1,42.41657695,-0.041107153,7/24/18 17:22,e2801160600002073a496297,1,42.70514472,-114031250,-4.071428571,1,552,nan,20,494715,-64,0
0,9.46687E+14,0.99005821,0.5,9.46687E+14,6.142059075,8,1,0.072689055,28,1,25.41657695,0.164428611,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70514472,456125000,-0.481481481,1,4004,0.023904321,20,511461,-47,0
0,9.46687E+14,0.643831543,-0.125,9.46687E+14,0.871301088,65534,1,0.073061833,29,1,42.41657695,-0.041107153,7/24/18 17:22,e2801160600002073a496297,1,42.70514472,-114031250,-4.071428571,1,568,0.024026911,20,521429,-64,0
0,9.46687E+14,0.39399204,-0.625,9.46687E+14,1.165825399,65526,1,0.040404042,30,1,36.41657695,-0.205535763,7/24/18 17:22,00e200600322f148a4000000,1,36.70514472,-570156250,-1.923076923,1,760,0.013287161,20,535000,-58,0
0,9.46687E+14,0.995767414,0.25,9.46687E+14,6.19114646,4,1,0.05628926,31,1,25.41657695,0.082214305,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70514472,228062500,-0.481481481,1,4036,0.01851113,20,580809,-47,0
0,9.46687E+14,0.433093819,0.375,9.46687E+14,1.122873937,6,1,-0.058832923,32,1,36.41657695,0.123321458,7/24/18 17:22,00e200600322f148a4000000,1,36.70514472,342093750,-1.923076923,1,732,-0.019347632,20,593056,-58,0
1,9.46687E+14,0.595699304,-0.75,9.46687E+14,0.932660319,65524,1,0.059877709,33,1,41.41657695,-0.246642916,7/24/18 17:22,e2801160600002073a496297,1,41.70514472,-684187500,-3.071428571,1,608,0.019691217,20,602919,-63,0
1,9.46687E+14,0.773010453,-0.375,9.46687E+14,5.595961914,65530,1,nan,34,1,35.42609574,-0.123253903,7/24/18 17:22,00e200600322f148a4000000,1,35.70504458,-342281250,-1.448275862,1,3648,nan,21,631398,-57,0
0,9.46687E+14,0.195090322,2.125,9.46687E+14,4.908738521,34,1,nan,35,1,43.42609574,0.698438784,7/24/18 17:22,e2801160600002073a496297,1,43.70504458,1939593750,-3.928571429,1,3200,nan,21,641374,-65,0
0,9.46687E+14,-0.116318631,1.125,9.46687E+14,4.595806441,18,1,nan,36,1,25.42609574,0.369761709,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70504458,1026843750,-0.230769231,1,2996,nan,21,651318,-47,0
1,9.46687E+14,0.81403633,-0.375,9.46687E+14,5.663457069,65530,1,0.079252536,37,1,35.42609574,-0.123253903,7/24/18 17:22,00e200600322f148a4000000,1,35.70504458,-342281250,-1.448275862,1,3692,0.026048492,21,699123,-57,0
0,9.46687E+14,0.09801714,0.0625,9.46687E+14,1.472621556,1,1,-4.175434887,38,1,25.42609574,0.020542317,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70504458,57046875,-0.230769231,1,960,-1.372369725,21,710800,-47,0
1,9.46687E+14,0.30784964,-1.0625,9.46687E+14,5.025321061,65519,1,0.116835862,39,1,42.42609574,-0.349219392,7/24/18 17:22,e2801160600002073a496297,1,42.70504458,-969796875,-2.928571429,1,3276,0.038401269,21,720724,-64,0
1,9.46687E+14,0.784556597,-0.75,9.46687E+14,5.614369684,65524,1,-0.091919552,40,1,35.42609574,-0.246507806,7/24/18 17:22,00e200600322f148a4000000,1,35.70504458,-684562500,-1.448275862,1,3660,-0.03021185,21,741590,-57,0
0,9.46687E+14,0.073564564,0.25,9.46687E+14,1.497165249,4,1,0.045735766,41,1,25.42609574,0.082169269,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70504458,228187500,-0.230769231,1,976,0.015032298,21,753475,-47,0
1,9.46687E+14,0.290284677,0.375,9.46687E+14,5.006913292,6,1,-0.032648549,42,1,42.42609574,0.123253903,7/24/18 17:22,e2801160600002073a496297,1,42.70504458,342281250,-2.928571429,1,3264,-0.01073083,21,765560,-64,0
1,9.46687E+14,0.31368174,-0.9375,9.46687E+14,5.031456984,65521,1,0.042669805,43,1,42.42609574,-0.308134758,7/24/18 17:22,e2801160600002073a496297,1,42.70504458,-855703125,-2.928571429,1,3280,0.014024587,21,811333,-64,0
1,9.46687E+14,0.732654272,0.5,9.46687E+14,5.534602683,8,1,-0.079272975,44,1,35.42609574,0.164338537,7/24/18 17:22,00e200600322f148a4000000,1,35.70504458,456375000,-1.448275862,1,3608,-0.026055209,21,821608,-57,0
0,9.46687E+14,-0.565731811,0.125,9.46687E+14,4.111068512,2,1,nan,45,1,25.43560931,0.041062141,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70493923,114156250,-0.481481481,1,2680,nan,22,844566,-47,0
0,9.46687E+14,-0.792106577,0,9.46687E+14,2.485048876,0,1,nan,46,1,40.43560931,0,7/24/18 17:22,e2801160600002073a496297,1,40.70493923,0,-2.269230769,1,1620,nan,22,868516,-62,0
0,9.46687E+14,-0.410843171,0.0625,9.46687E+14,1.994175024,1,1,nan,47,1,36.43560931,0.02053107,7/24/18 17:22,00e200600322f148a4000000,1,36.70493923,57078125,-1.36,1,1300,nan,22,880629,-58,0
0,9.46687E+14,0.53499762,0.625,9.46687E+14,1.006291397,10,1,-5.369712649,48,1,25.43560931,0.205310704,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70493923,570781250,-0.481481481,1,656,-1.763935171,22,890546,-47,0
0,9.46687E+14,0.971503891,3.5,9.46687E+14,0.239301003,56,1,nan,49,1,51.43560931,1.14973994,7/24/18 17:22,53616c6f6e69000000000000,1,51.70493923,3196375000,-3.782608696,1,156,nan,22,900503,-73,0
0,9.46687E+14,0.492898192,0.125,9.46687E+14,1.055378782,2,1,0.07057325,50,1,25.43560931,0.041062141,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70493923,114156250,-0.481481481,1,688,0.02318311,22,945858,-47,0
0,9.46687E+14,0.999322385,0.25,9.46687E+14,6.246369768,4,1,8.661770467,51,1,51.43560931,0.082124281,7/24/18 17:22,53616c6f6e69000000000000,1,51.70493923,228312500,-3.782608696,1,4072,2.845366701,22,955653,-73,0
1,9.46687E+14,-0.438616239,0.8125,9.46687E+14,2.02485464,13,1,0.02859524,52,1,35.43560931,0.266903915,7/24/18 17:22,00e200600322f148a4000000,1,35.70493923,742015625,-0.36,1,1320,0.009393454,22,965948,-57,0
1,9.46687E+14,0.720002508,0.25,9.46687E+14,5.516194913,4,1,2.243626995,53,1,39.43560931,0.082124281,7/24/18 17:22,e2801160600002073a496297,1,39.70493923,228312500,-1.269230769,1,3596,0.737025019,22,975951,-61,0
0,9.46687E+14,0.465976496,0.25,9.46687E+14,1.086058398,4,1,0.048267267,54,1,25.43560931,0.082124281,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70493923,228312500,-0.481481481,1,708,0.015855658,22,996404,-47,0
1,9.46687E+14,-0.776888466,-0.75,9.46687E+14,2.460505184,65524,1,-7.561718997,55,1,39.43560931,-0.246372844,7/24/18 17:22,e2801160600002073a496297,1,39.70493923,-684937500,-1.269230769,1,1604,-2.484002956,22,1008086,-61,0
0,9.46687E+14,-0.851355193,-3.25,9.46687E+14,2.58935957,65484,1,3.348240396,56,1,51.43560931,-1.067615658,7/24/18 17:22,53616c6f6e69000000000000,1,51.70493923,-2968062500,-3.782608696,1,1688,1.099887346,22,1018026,-73,0
1,9.46687E+14,-0.524589683,0.25,9.46687E+14,2.12302941,4,1,0.125220063,57,1,35.43560931,0.082124281,7/24/18 17:22,00e200600322f148a4000000,1,35.70493923,228312500,-0.36,1,1384,0.041134431,22,1028295,-57,0
2,9.46687E+14,0.970031253,-0.0625,9.46687E+14,6.037748381,65535,1,nan,58,1,32.44511767,-0.020519836,7/24/18 17:22,00e200600322f148a4000000,1,32.70482866,-57109375,1.08,1,3936,nan,23,1087451,-54,0
1,9.46687E+14,0.92850608,0.375,9.46687E+14,5.902758072,6,1,nan,59,1,40.44511767,0.123119015,7/24/18 17:22,e2801160600002073a496297,1,40.70482866,342656250,-1.259259259,1,3848,nan,23,1097442,-62,0
0,9.46687E+14,0.47679923,0.1875,9.46687E+14,5.209398756,3,1,nan,60,1,25.44511767,0.061559508,7/24/18 17:22,35fffffff4a246cfdff1db01,1,25.70482866,171328125,-0.266666667,1,3396,nan,23,1107412,-47,0
