'Time','Val'
26.9,-7.663009644,
27,-7.744773865,
27.1,-7.729438782,
27.2,-7.708999634,
27.3,-7.604248047,
27.4,-7.328308105,
27.5,-7.04725647,
27.6,-6.878623962,
27.7,-6.753433228,
27.8,-6.666564941,
27.9,-6.602684021,
28,-6.546478271,
28.1,-6.490264893,
28.2,-6.503044128,
28.3,-6.574584961,
28.4,-6.641014099,
28.5,-6.748321533,
28.6,-6.916954041,
28.7,-7.172454834,
28.8,-7.466278076,
28.9,-7.668121338,
29,-7.731994629,
29.1,-7.708999634,
29.2,-7.691116333,
29.3,-7.622131348,
29.4,-7.366630554,
29.5,-7.075363159,
29.6,-6.89906311,
29.7,-6.768760681,
29.8,-6.676780701,
29.9,-6.61290741,
30,-6.551589966,30.24193573
30.1,-6.495376587,
30.2,-6.485153198,
30.3,-6.551589966,
30.4,-6.595024109,
30.5,-6.58480072,
30.6,-6.579689026,
30.7,-6.587356567,
30.8,-6.602684021,
30.9,-6.615463257,
31,-6.618019104,
31.1,-6.623123169,
31.2,-6.623123169,
31.3,-6.623123169,
31.4,-6.628234863,
31.5,-6.625679016,
31.6,-6.625679016,
31.7,-6.628234863,
31.8,-6.628234863,
31.9,-6.628234863,
32,-6.625679016,
32.1,-6.620574951,
32.2,-6.620574951,
32.3,-6.620574951,
32.4,-6.623123169,
32.5,-6.625679016,
32.6,-6.625679016,
32.7,-6.625679016,
32.8,-6.628234863,
32.9,-6.625679016,
33,-6.625679016,
33.1,-6.628234863,
33.2,-6.628234863,
33.3,-6.625679016,
33.4,-6.628234863,
33.5,-6.625679016,
33.6,-6.625679016,
33.7,-6.628234863,
33.8,-6.625679016,
33.9,-6.628234863,
34,-6.625679016,
34.1,-6.623123169,
34.2,-6.620574951,
34.3,-6.623123169,
34.4,-6.625679016,
34.5,-6.625679016,
34.6,-6.628234863,
34.7,-6.628234863,
34.8,-6.623123169,
34.9,-6.623123169,
35,-6.623123169,
35.1,-6.620574951,
35.2,-6.620574951,
35.3,-6.625679016,
35.4,-6.625679016,
35.5,-6.625679016,
35.6,-6.625679016,
35.7,-6.623123169,
35.8,-6.623123169,
35.9,-6.623123169,
36,-6.625679016,
36.1,-6.625679016,
36.2,-6.625679016,
36.3,-6.620574951,
36.4,-6.623123169,
36.5,-6.628234863,
36.6,-6.623123169,
36.7,-6.620574951,
36.8,-6.620574951,
36.9,-6.625679016,
37,-6.628234863,
37.1,-6.628234863,
37.2,-6.628234863,
37.3,-6.628234863,
37.4,-6.625679016,
37.5,-6.623123169,
37.6,-6.620574951,
37.7,-6.625679016,
37.8,-6.628234863,
37.9,-6.628234863,
38,-6.623123169,
38.1,-6.625679016,
38.2,-6.623123169,
38.3,-6.620574951,
38.4,-6.625679016,
38.5,-6.623123169,
38.6,-6.628234863,
38.7,-6.63079071,
38.8,-6.63079071,
38.9,-6.623123169,
39,-6.620574951,
39.1,-6.628234863,
39.2,-6.625679016,
39.3,-6.623123169,
39.4,-6.628234863,
39.5,-6.623123169,
39.6,-6.625679016,
39.7,-6.628234863,
39.8,-6.628234863,
39.9,-6.628234863,
40,-6.628234863,30.18108559
40.1,-6.623123169,
40.2,-6.623123169,
40.3,-6.625679016,
40.4,-6.623123169,
40.5,-6.623123169,
40.6,-6.625679016,
40.7,-6.625679016,
40.8,-6.628234863,
40.9,-6.623123169,
41,-6.623123169,
41.1,-6.625679016,
41.2,-6.628234863,
41.3,-6.625679016,
41.4,-6.628234863,
41.5,-6.628234863,
41.6,-6.625679016,
41.7,-6.623123169,
41.8,-6.623123169,
41.9,-6.628234863,
42,-6.628234863,
42.1,-6.63079071,
42.2,-6.63079071,
42.3,-6.628234863,
42.4,-6.625679016,
42.5,-6.628234863,
42.6,-6.620574951,
42.7,-6.623123169,
42.8,-6.63079071,
42.9,-6.633346558,
43,-6.63079071,
43.1,-6.63079071,
43.2,-6.63079071,
43.3,-6.63079071,
43.4,-6.628234863,
43.5,-6.628234863,
43.6,-6.63079071,
43.7,-6.628234863,
43.8,-6.625679016,
43.9,-6.623123169,
44,-6.625679016,
44.1,-6.625679016,
44.2,-6.628234863,
44.3,-6.63079071,
44.4,-6.63079071,
44.5,-6.628234863,
44.6,-6.63079071,
44.7,-6.633346558,
44.8,-6.63079071,
44.9,-6.63079071,
45,-6.63079071,
45.1,-6.628234863,
45.2,-6.625679016,
45.3,-6.63079071,
45.4,-6.63079071,
45.5,-6.63079071,
45.6,-6.63079071,
45.7,-6.63079071,
45.8,-6.628234863,
45.9,-6.628234863,
46,-6.63079071,
46.1,-6.63079071,
46.2,-6.628234863,
46.3,-6.63079071,
46.4,-6.633346558,
46.5,-6.628234863,
46.6,-6.625679016,
46.7,-6.623123169,
46.8,-6.623123169,
46.9,-6.625679016,
47,-6.628234863,
47.1,-6.628234863,
47.2,-6.63079071,
47.3,-6.63079071,
47.4,-6.628234863,
47.5,-6.625679016,
47.6,-6.625679016,
47.7,-6.625679016,
47.8,-6.625679016,
47.9,-6.628234863,
48,-6.63079071,
48.1,-6.625679016,
48.2,-6.628234863,
48.3,-6.633346558,
48.4,-6.63079071,
48.5,-6.628234863,
48.6,-6.628234863,
48.7,-6.628234863,
48.8,-6.628234863,
48.9,-6.628234863,
49,-6.628234863,
49.1,-6.63079071,
49.2,-6.628234863,
49.3,-6.625679016,
49.4,-6.628234863,
49.5,-6.628234863,
49.6,-6.63079071,
49.7,-6.625679016,
49.8,-6.628234863,
49.9,-6.63079071,
50,-6.628234863,29.58579826
50.1,-6.63079071,
50.2,-6.628234863,
50.3,-6.625679016,
50.4,-6.625679016,
50.5,-6.625679016,
50.6,-6.625679016,
50.7,-6.625679016,
50.8,-6.628234863,
50.9,-6.625679016,
51,-6.625679016,
51.1,-6.625679016,
51.2,-6.628234863,
51.3,-6.628234863,
51.4,-6.628234863,
51.5,-6.628234863,
51.6,-6.63079071,
51.7,-6.63079071,
51.8,-6.63079071,
51.9,-6.63079071,
52,-6.63079071,
52.1,-6.628234863,
52.2,-6.625679016,
52.3,-6.625679016,
52.4,-6.63079071,
52.5,-6.625679016,
52.6,-6.623123169,
52.7,-6.625679016,
52.8,-6.628234863,
52.9,-6.628234863,
53,-6.625679016,
53.1,-6.625679016,
53.2,-6.628234863,
53.3,-6.63079071,
53.4,-6.63079071,
53.5,-6.633346558,
53.6,-6.63079071,
53.7,-6.63079071,
53.8,-6.628234863,
53.9,-6.625679016,
54,-6.628234863,
54.1,-6.63079071,
54.2,-6.63079071,
54.3,-6.625679016,
54.4,-6.625679016,
54.5,-6.63079071,
54.6,-6.63079071,
54.7,-6.63079071,
54.8,-6.63079071,
54.9,-6.63079071,
55,-6.63079071,
55.1,-6.63079071,
55.2,-6.63079071,
55.3,-6.625679016,
55.4,-6.623123169,
55.5,-6.625679016,
55.6,-6.625679016,
55.7,-6.63079071,
55.8,-6.633346558,
55.9,-6.63079071,
56,-6.63079071,
56.1,-6.628234863,
56.2,-6.628234863,
56.3,-6.63079071,
56.4,-6.628234863,
56.5,-6.628234863,
56.6,-6.628234863,
56.7,-6.625679016,
56.8,-6.625679016,
56.9,-6.623123169,
57,-6.628234863,
57.1,-6.625679016,
57.2,-6.625679016,
57.3,-6.63079071,
57.4,-6.633346558,
57.5,-6.63079071,
57.6,-6.623123169,
57.7,-6.625679016,
57.8,-6.628234863,
57.9,-6.625679016,
58,-6.625679016,
58.1,-6.625679016,
58.2,-6.63079071,
58.3,-6.633346558,
58.4,-6.628234863,
58.5,-6.628234863,
58.6,-6.63079071,
58.7,-6.628234863,
58.8,-6.63079071,
58.9,-6.628234863,
59,-6.628234863,
59.1,-6.633346558,
59.2,-6.633346558,
59.3,-6.63079071,
59.4,-6.63079071,
59.5,-6.63079071,
59.6,-6.63079071,
59.7,-6.628234863,
59.8,-6.623123169,
59.9,-6.623123169,
60,-6.63079071,0
60.1,-6.633346558,
60.2,-6.63079071,
60.3,-6.625679016,
60.4,-6.625679016,
60.5,-6.628234863,
60.6,-6.625679016,
60.7,-6.648674011,
60.8,-6.740653992,
60.9,-6.891403198,
61,-7.090690613,
61.1,-7.364074707,
61.2,-7.629798889,
61.3,-7.744773865,
61.4,-7.737106323,
61.5,-7.708999634,
61.6,-7.542922974,
61.7,-7.236328125,
61.8,-6.998710632,
61.9,-6.845413208,
62,-6.73299408,
62.1,-6.648674011,
62.2,-6.58480072,
62.3,-6.526039124,
62.4,-6.513259888,
62.5,-6.569473267,
62.6,-6.602684021,
62.7,-6.589912415,
62.8,-6.58480072,
62.9,-6.635902405,
63,-6.755989075,
63.1,-6.916954041,
63.2,-7.154563904,
63.3,-7.443283081,
63.4,-7.668121338,
63.5,-7.742218018,
63.6,-7.719223022,
63.7,-7.698783875,
63.8,-7.565917969,
63.9,-7.272094727,
64,-7.016593933,
64.1,-6.855628967,
64.2,-6.738098145,
64.3,-6.651229858,
64.4,-6.58480072,
64.5,-6.531143188,
64.6,-6.49282074,
64.7,-6.541366577,
64.8,-6.605239868,
64.9,-6.661453247,
65,-6.794311523,
65.1,-6.980827332,
65.2,-7.246543884,
65.3,-7.52759552,
65.4,-7.698783875,
65.5,-7.734550476,
65.6,-7.711555481,
65.7,-7.640014648,
65.8,-7.381958008,
65.9,-7.088134766,
66,-6.901618958,
66.1,-6.768760681,
66.2,-6.676780701,
66.3,-6.602684021,
66.4,-6.543922424,
66.5,-6.485153198,
66.6,-6.508148193,
66.7,-6.635902405,
66.8,-6.799423218,
66.9,-7.001266479,
67,-7.292533875,
67.1,-7.571029663,
67.2,-7.714111328,
67.3,-7.734550476,
67.4,-7.711555481,
67.5,-7.696228027,
67.6,-7.550590515,
67.7,-7.25932312,
67.8,-7.011489868,
67.9,-6.842857361,
68,-6.725326538,
68.1,-6.648674011,
68.2,-6.579689026,
68.3,-6.520927429,
68.4,-6.472381592,
68.5,-6.513259888,
68.6,-6.587356567,
68.7,-6.607795715,
68.8,-6.681892395,
68.9,-6.827529907,
69,-7.039588928,
69.1,-7.318084717,
69.2,-7.581253052,
69.3,-7.714111328,
69.4,-7.724334717,
69.5,-7.701339722,
69.6,-7.678344727,
69.7,-7.504600525,
69.8,-7.195449829,
69.9,-6.965499878,
70,-6.817306519,10.04688549
70.1,-6.707443237,
70.2,-6.633346558,
70.3,-6.574584961,
70.4,-6.515815735,
70.5,-6.472381592,
70.6,-6.533699036,
70.7,-6.600128174,
70.8,-6.592468262,
70.9,-6.646118164,
71,-6.77898407,
71.1,-6.952720642,
71.2,-7.220993042,
71.3,-7.509712219,
71.4,-7.688560486,
71.5,-7.734550476,
71.6,-7.708999634,
71.7,-7.678344727,
71.8,-7.484161377,
71.9,-7.175003052,
72,-6.955276489,
72.1,-6.812194824,
72.2,-6.70488739,
72.3,-6.628234863,
72.4,-6.566917419,
