rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
2.0,1501080684787909,0.9807852804032304,0.4375,1501080684787909,0.19634954084936207,7,1,nan,1,1,25.330672375066598,0.1445882676948499,2018-06-29 21:53:15,00e200600322f041ef000000,1,25.705810475331738,397140625.0,0.60000000000000142,1,128,nan,11,0,-47,0
0.0,1501080684797934,0.12849811079379322,-0.125,1501080684797934,1.4419419406125027,65534,1,nan,2,1,35.330672375066598,-0.04131093362709997,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70581047533174,-113468750.0,-0.17391304347825809,1,940,nan,11,10025,-57,0
0.0,1501080684843250,0.1527971852584434,0.5625,1501080684843250,1.4173982480063325,9,1,-0.04310011916320933,3,1,35.330672375066598,0.18589920132194987,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70581047533174,510609375.0,-0.17391304347825809,1,924,-0.014244049296571519,11,55341,-57,0
2.0,1501080684854654,0.9770281426577544,0.125,1501080684854654,0.21475731030398976,2,1,0.02193168568923701,4,1,25.330672375066598,0.04131093362709997,2018-06-29 21:53:15,00e200600322f041ef000000,1,25.705810475331738,113468750.0,0.60000000000000142,1,140,0.007248147294707908,11,66745,-47,0
2.0,1501080684876576,0.9783173707196277,0.0625,1501080684876576,0.2086213871524472,1,1,-0.022273572210564654,5,1,25.330672375066598,0.020655466813549985,2018-06-29 21:53:15,00e200600322f041ef000000,1,25.705810475331738,56734375.0,0.60000000000000142,1,136,-0.007361136505832438,11,88667,-47,0
0.0,1501080684886579,0.1527971852584434,2.0,1501080684886579,1.4173982480063325,32,1,0.0,6,1,35.330672375066598,0.6609749380335995,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70581047533174,1815500000.0,-0.17391304347825809,1,924,0.0,11,98670,-57,0
0.0,1501080684935466,0.08579731234443988,1.8125,1501080684935466,1.4848934026733007,29,1,0.10986752613169144,7,1,35.330672375066598,0.5990085375929496,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70581047533174,1645296875.0,-0.17391304347825809,1,968,0.036309840638399815,11,147557,-57,0
1.0,1501080684945172,0.9852776423889412,0.5,1501080684945172,0.1718058482431918,8,1,-0.04267975862522962,8,1,26.330672375066602,0.16524373450839988,2018-06-29 21:53:15,00e200600322f041ef000000,1,26.70581047533174,453875000.0,-0.39999999999999858,1,112,-0.014105125406300068,11,157263,-48,0
1.0,1501080684976754,-0.30200594931922853,0.4375,1501080684976754,4.405592822807561,7,1,nan,9,1,26.340238333059496,0.14450867052023122,2018-06-29 21:53:15,00e200600322f041ef000000,1,26.70575750767681,397359375.0,-0.041666666666664298,1,2872,nan,12,188845,-48,0
0.0,1501080684986760,0.7368165688773698,-0.5625,1501080684986760,5.540738605842936,65527,1,nan,10,1,34.340238333059496,-0.18579686209744012,2018-06-29 21:53:15,00e200600322f10741000000,1,34.705757507676815,-510890625.0,-0.9615384615384599,1,3612,nan,12,198851,-56,0
1.0,1501080685038296,0.7491363945234594,0.5,1501080685038296,5.559146375297564,8,1,0.028423698967712137,11,1,33.340238333059489,0.16515276630883569,2018-06-29 21:53:15,00e200600322f10741000000,1,33.70575750767681,454125000.0,0.038461538461540101,1,3624,0.009388505026494513,12,250387,-55,0
2.0,1501080685047996,-0.27262135544994887,0.5,1501080685047996,4.4362724385652745,8,1,0.034245490986781014,12,1,25.340238333059489,0.16515276630883569,2018-06-29 21:53:15,00e200600322f041ef000000,1,25.705757507676804,454125000.0,0.9583333333333357,1,2892,0.011311475140142366,12,260087,-47,0
2.0,1501080685066396,-0.30200594931922853,0.875,1501080685066396,4.405592822807561,14,1,-0.13268512228261115,13,1,25.340238333059489,0.28901734104046245,2018-06-29 21:53:15,00e200600322f041ef000000,1,25.705757507676804,794718750.0,0.9583333333333357,1,2872,-0.04382662998599872,12,278487,-47,0
1.0,1501080685076384,0.7200025079613815,-0.0625,1501080685076384,5.516194913236766,65535,1,-0.08967664819450478,14,1,33.340238333059489,-0.02064409578860446,2018-06-29 21:53:15,00e200600322f10741000000,1,33.70575750767681,-56765625.0,0.038461538461540101,1,3596,-0.02962069304525344,12,288475,-55,0
1.0,1501080685130648,0.7531867990436123,-0.1875,1501080685130648,5.565282298449106,65533,1,0.07198603125460686,15,1,33.340238333059489,-0.061932287365813375,2018-06-29 21:53:15,00e200600322f10741000000,1,33.70575750767681,-170296875.0,0.038461538461540101,1,3628,0.023777384394585255,12,342739,-55,0
2.0,1501080685140294,-0.26671275747489853,0.125,1501080685140294,4.442408361716817,2,1,0.03961759076911791,16,1,25.340238333059489,0.04128819157720892,2018-06-29 21:53:15,00e200600322f041ef000000,1,25.705757507676804,113531250.0,0.9583333333333357,1,2896,0.013085909420022432,12,352385,-47,0
1.0,1501080685167864,0.7326542716724128,0.0625,1501080685167864,0.7485826244881929,1,1,nan,17,1,35.349799026353168,0.02063273727647868,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70569927532266,56796875.0,0.5833333333333357,1,488,nan,13,379955,-57,0
0.0,1501080685179596,0.9807852804032303,0.125,1501080685179596,6.086835766330224,2,1,nan,18,1,28.349799026353164,0.04126547455295736,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705699275322658,113593750.0,-0.39999999999999858,1,3968,nan,13,391687,-50,0
1.0,1501080685226195,0.9900582102622971,0.5,1501080685226195,6.1420590746941075,8,1,0.09430526942638337,19,1,27.349799026353168,0.16506189821182943,2018-06-29 21:53:15,00e200600322f041ef000000,1,27.70569927532266,454375000.0,0.60000000000000142,1,4004,0.031132413565793684,13,438286,-49,0
0.0,1501080685237924,0.7027547444572253,0.0,1501080685237924,0.7915340865489908,0,1,0.04875255747120024,20,1,36.349799026353168,0.0,2018-06-29 21:53:15,00e200600322f10741000000,1,36.70569927532266,0.0,-0.4166666666666643,1,516,0.016094379357755238,13,450015,-58,0
0.0,1501080685258422,0.7114321957452164,0.1875,1501080685258422,0.7792622402459057,3,1,-0.04764184310664439,21,1,36.349799026353168,0.061898211829436035,2018-06-29 21:53:15,00e200600322f10741000000,1,36.70569927532266,170390625.0,-0.4166666666666643,1,508,-0.01572770611498577,13,470513,-58,0
0.0,1501080685272066,-0.9831054874312163,0.5625,1501080685272066,2.9575149590435164,9,1,5.3718350190076745,22,1,28.349799026353164,0.1856946354883081,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705699275322658,511171875.0,-0.39999999999999858,1,1928,1.7733705702363713,13,484157,-50,0
1.0,1501080685319260,0.7157308252838186,0.1875,1501080685319260,0.7731263170943632,3,1,-0.008020373019758047,23,1,35.349799026353168,0.061898211829436035,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70569927532266,170390625.0,0.5833333333333357,1,504,-0.002647715990016412,13,531351,-57,0
0.0,1501080685330873,-0.9863080972445986,-0.375,1501080685330873,2.9759227284981438,65530,1,0.024892110825719765,24,1,28.349799026353164,-0.12379642365887207,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705699275322658,-340781250.0,-0.39999999999999858,1,1940,0.008217478126785067,13,542964,-50,0
0.0,1501080685358905,0.9998305817958234,-0.5625,1501080685358905,0.018407769454627694,65527,1,nan,25,1,28.359354460739375,-0.18559252130877096,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705635784061045,-511453125.0,-0.20000000000000284,1,12,nan,14,570996,-50,0
1.0,1501080685370553,0.6296382389149271,0.25,1501080685370553,0.8897088569736719,4,1,nan,26,1,35.359354460739375,0.08248556502612042,2018-06-29 21:53:15,00e200600322f10741000000,1,35.705635784061045,227312500.0,0.39999999999999858,1,580,nan,14,582644,-57,0
1.0,1501080685421293,0.6103828062763095,0.0625,1501080685421293,0.9142525495798421,1,1,0.03849280646432798,27,1,35.359354460739375,0.020621391256530106,2018-06-29 21:53:15,00e200600322f10741000000,1,35.705635784061045,56828125.0,0.39999999999999858,1,596,0.01270040356260478,14,633384,-57,0
0.0,1501080685432723,0.9981181129001492,-0.4375,1501080685432723,6.22182607566416,65529,1,6.682798663843211,28,1,28.359354460739375,-0.14434973879571075,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705635784061045,-397796875.0,-0.20000000000000284,1,4056,2.2049376949716395,14,644814,-50,0
1.0,1501080685454936,-0.639124444863776,0.125,1501080685454936,4.01902966426038,2,1,7.3388041378794115,29,1,35.359354460739375,0.04124278251306021,2018-06-29 21:53:15,00e200600322f10741000000,1,35.705635784061045,113656250.0,0.39999999999999858,1,2620,2.4213816237160555,14,667027,-57,0
0.0,1501080685464602,0.9984755805732948,-0.1875,1501080685464602,6.227961998815704,65533,1,0.01530610915574808,30,1,28.359354460739375,-0.061864173769590323,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705635784061045,-170484375.0,-0.20000000000000284,1,4060,0.005050132248253422,14,676693,-50,0
1.0,1501080685515714,-0.6438315428897915,0.1875,1501080685515714,4.0128937411088375,3,1,-0.00802829072651325,31,1,35.359354460739375,0.061864173769590323,2018-06-29 21:53:15,00e200600322f10741000000,1,35.705635784061045,170484375.0,0.39999999999999858,1,2616,-0.0026488723870816333,14,727805,-57,0
0.0,1501080685525395,0.9999811752826011,0.0,1501080685525395,6.277049384028044,0,1,0.06421047867695821,32,1,28.359354460739375,0.0,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705635784061045,0.0,-0.20000000000000284,1,4092,0.02118575045706622,14,737486,-50,0
0.0,1501080685545929,0.9990777277526454,0.0625,1501080685545929,6.240233845118788,1,1,-0.14267495373526956,33,1,28.359354460739375,0.020621391256530106,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705635784061045,56828125.0,-0.20000000000000284,1,4068,-0.0470744966957172,14,758020,-50,0
1.0,1501080685566690,0.600616479383869,0.9375,1501080685566690,5.356660911296659,15,1,nan,34,1,35.368904642000317,0.3091508656224237,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70556703967416,852890625.0,0.043478260869562746,1,3492,nan,15,778781,-57,0
1.0,1501080685617152,0.47679923006332225,0.375,1501080685617152,1.0737865515199487,6,1,nan,35,1,26.368904642000324,0.1236603462489695,2018-06-29 21:53:15,00e200600322f041ef000000,1,26.70556703967417,341156250.0,-0.039999999999999147,1,700,nan,15,829243,-48,0
1.0,1501080685627095,0.5035383837257178,2.5,1501080685627095,5.240078371417351,40,1,-0.15347944080365497,36,1,35.368904642000317,0.8244023083264633,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70556703967416,2274375000.0,0.043478260869562746,1,3416,-0.050611522111675175,15,839186,-57,0
1.0,1501080685648049,0.5141027441932217,0.75,1501080685648049,1.030835089459151,12,1,-0.11054808481186783,37,1,26.368904642000324,0.247320692497939,2018-06-29 21:53:15,00e200600322f041ef000000,1,26.70556703967417,682312500.0,-0.039999999999999147,1,672,-0.03645443851998939,15,860140,-48,0
1.0,1501080685665649,-0.555570233019602,3.3125,1501080685665649,2.1598449493429825,53,1,-6.35336447049782,38,1,35.368904642000317,1.092333058532564,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70556703967416,3013546875.0,0.043478260869562746,1,1408,-2.0950913340470967,15,877740,-57,0
0.0,1501080685709197,0.4659764957679661,-0.125,1501080685709197,1.086058397823034,65534,1,0.0718174115912929,39,1,27.36890464200032,-0.041220115416323165,2018-06-29 21:53:15,00e200600322f041ef000000,1,27.705567039674165,-113718750.0,-1.0399999999999991,1,708,0.02368257595755743,15,921288,-49,0
1.0,1501080685719158,0.6055110414043253,0.8125,1501080685719158,5.3627968344482015,13,1,4.760068079595839,40,1,35.368904642000317,0.2679307502061006,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70556703967416,739171875.0,0.043478260869562746,1,3496,1.56968444504397,15,931249,-57,0
1.0,1501080685743095,0.6531728429537768,-0.625,1501080685743095,5.424156065963627,65526,1,0.20398598404144286,41,1,35.368904642000317,-0.20610057708161583,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70556703967416,-568593750.0,0.043478260869562746,1,3536,0.06726660644400424,15,955186,-57,0
1.0,1501080685754524,0.4713967368259978,0.5,1501080685754524,1.0799224746714913,8,1,-0.010764962467757797,42,1,26.368904642000324,0.16488046166529266,2018-06-29 21:53:15,00e200600322f041ef000000,1,26.70556703967417,454875000.0,-0.039999999999999147,1,704,-0.0035498639629869076,15,966615,-48,0
0.0,1501080685807055,-0.9039892931234433,0.375,1501080685807055,2.6998061866787286,6,1,nan,43,1,28.378449575908647,0.12359241966492722,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705493047934667,341343750.0,-0.5,1,1760,nan,16,1019146,-50,0
0.0,1501080685819004,0.9065957045149153,0.5,1501080685819004,0.4356505437595221,8,1,nan,44,1,36.378449575908654,0.16478989288656962,2018-06-29 21:53:15,00e200600322f10741000000,1,36.705493047934674,455125000.0,-0.22222222222222143,1,284,nan,16,1031095,-58,0
1.0,1501080685840469,-0.8986744656939539,0.0,1501080685840469,2.6875343403756435,0,1,-0.02920592887867601,45,1,27.378449575908654,0.0,2018-06-29 21:53:15,00e200600322f041ef000000,1,27.705493047934674,0.0,0.5,1,1752,-0.00962568378313958,16,1052560,-49,0
0.0,1501080685852414,0.8847970984309378,0.25,1501080685852414,0.48473792897186263,4,1,0.11683770219121024,46,1,36.378449575908654,0.08239494644328481,2018-06-29 21:53:15,00e200600322f10741000000,1,36.705493047934674,227562500.0,-0.22222222222222143,1,316,0.038507344858404915,16,1064505,-58,0
1.0,1501080685899782,0.9039892931234433,0.5625,1501080685899782,0.44178646691106466,9,1,-0.07215775945786188,47,1,35.378449575908647,0.18538862949739082,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70549304793467,512015625.0,0.77777777777777857,1,288,-0.023781738903991833,16,1111873,-57,0
0.0,1501080685911242,0.8904487232447578,0.5625,1501080685911242,5.810719224510809,9,1,3.509293345937083,48,1,28.378449575908647,0.18538862949739082,2018-06-29 21:53:15,00e200600322f041ef000000,1,28.705493047934667,512015625.0,-0.5,1,3788,1.1565921491690467,16,1123333,-50,0
0.0,1501080685931730,0.8639728561215867,-0.25,1501080685931730,0.5276893910326605,65532,1,0.2138227229518149,49,1,36.378449575908654,-0.08239494644328481,2018-06-29 21:53:15,00e200600322f10741000000,1,36.705493047934674,-227562500.0,-0.22222222222222143,1,344,0.07047164722388846,16,1143821,-58,0
1.0,1501080685943229,0.8986744656939538,0.0,1501080685943229,5.829126993965437,0,1,0.045763290128118854,50,1,27.378449575908654,0.0,2018-06-29 21:53:15,00e200600322f041ef000000,1,27.705493047934674,0.0,0.5,1,3800,0.01508265535669943,16,1155320,-49,0
1.0,1501080686195043,-0.15885814333386128,0.1875,1501080686195043,1.7303303287350031,3,1,nan,51,1,26.397523724710645,0.06172839506172839,2018-06-29 21:53:15,00e200600322f041ef000000,1,26.705329345441015,170859375.0,0.60000000000000142,1,1128,nan,18,1407134,-48,0
1.0,1501080686210462,0.9142097557035305,0.875,1501080686210462,5.8659425328746915,14,1,nan,52,1,35.397523724710638,0.2880658436213992,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70532934544101,797343750.0,0.5769230769230802,1,3824,nan,18,1422553,-57,0
1.0,1501080686228941,0.8932243011955151,-0.375,1501080686228941,5.816855147662351,65530,1,-0.21138860327939754,53,1,35.397523724710638,-0.12345679012345678,2018-06-29 21:53:15,00e200600322f10741000000,1,35.70532934544101,-341718750.0,0.5769230769230802,1,3792,-0.06959295581214733,18,1441032,-57,0
